id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
ark://27927/phx21rthsm9,BOOK REVIEWS,American Journal of Orthopsychiatry,1944,,article,portico,1944-01-01,1,14,http://doi.org/10.1111/j.1939-0025.1944.tb04865.x,,"John Wiley & Sons, Inc.",eng,175,183,,6038,9,unigram; bigram; trigram
http://www.jstor.org/stable/4586588,"Observations on Rats and Typhus Fever in San Antonio, Tex.",Public Health Reports (1896-1970),1948,,article,jstor,1948-06-11,24,63,http://www.jstor.org/stable/4586588,David E. Davis,Association of Schools of Public Health,eng,783,790,,3052,8,unigram; bigram; trigram
ark://27927/phxg506tjk,REVIEWS,British Journal of Medical Psychology,1928,,article,portico,1928-06-01,2,8,http://doi.org/10.1111/j.2044-8341.1928.tb00681.x,,"John Wiley & Sons, Inc.",eng,150,162,,7561,13,unigram; bigram; trigram
http://www.jstor.org/stable/27528377,"Summary of Reading Investigations July 1, 1941 to June 30, 1942",The Journal of Educational Research,1943,,article,jstor,1943-02-01,6,36,http://www.jstor.org/stable/27528377,William S. Gray,"Taylor & Francis, Ltd.",eng,401,444,,17877,44,unigram; bigram; trigram
http://www.jstor.org/stable/4615335,The National Theories of Simon Dubnow,Jewish Social Studies,1948,,article,jstor,1948-10-01,4,10,http://www.jstor.org/stable/4615335,Koppel S. Pinson,Indiana University Press,eng,335,358,,10088,24,unigram; bigram; trigram
http://www.jstor.org/stable/30151900,Mating Behavior and the Social Hierarchy in Small Flocks of White Leghorns,Physiological Zoology,1945,,article,jstor,1945-10-01,4,18,http://www.jstor.org/stable/30151900,A. M. Guhl; N. E. Collias; W. C. Allee,University of Chicago Press,eng,365,390,,18025,31,unigram; bigram; trigram
http://www.jstor.org/stable/27526462,Research News and Communications,The Journal of Educational Research,1938,,article,jstor,1938-04-01,8,31,http://www.jstor.org/stable/27526462,,"Taylor & Francis, Ltd.",eng,629,636,,4189,8,unigram; bigram; trigram
ark://27927/phx21rtpfn3,"PSYCHIATRY, PSYCHOLOGY AND SEIZURES",American Journal of Orthopsychiatry,1949,,article,portico,1949-07-01,3,19,http://doi.org/10.1111/j.1939-0025.1949.tb05443.x,WILLIAM G. LENNOX,"John Wiley & Sons, Inc.",eng,432,446,,7057,15,unigram; bigram; trigram
http://www.jstor.org/stable/30014177,Review Article,Social Service Review,1943,,article,jstor,1943-12-01,4,17,http://www.jstor.org/stable/30014177,Charlotte Towle,University of Chicago Press,eng,511,514,,2417,4,unigram; bigram; trigram
http://www.jstor.org/stable/27528481,"Summary of Reading Investigations July 1, 1942 to June 30, 1943",The Journal of Educational Research,1944,,article,jstor,1944-02-01,6,37,http://www.jstor.org/stable/27528481,William S. Gray,"Taylor & Francis, Ltd.",eng,401,440,,16216,40,unigram; bigram; trigram
ark://27927/phx21rtfm7p,PROBLEMS OF A WAR TIME SOCIETY,American Journal of Orthopsychiatry,1943,,article,portico,1943-10-01,4,13,http://doi.org/10.1111/j.1939-0025.1943.tb06023.x,,"John Wiley & Sons, Inc.",eng,571,615,,24187,45,unigram; bigram; trigram
